article_id,title,stored_score,score_band,category,config_name,config_label,repetition,parsed_score,response_provider,response_model,message_content_empty,fallback_source,raw_output,message_content,message_reasoning,choice_reasoning_content,response_id,finish_reason,latency_seconds,http_attempts,status,error,prompt_sha256,common_payload_sha256,request_payload_sha256,completed_at
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,A,生产基线,1,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786274041-fOpfnoqyEPXdWNejkozl,stop,3.891744300723076,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,8af9960a3065f12b9d91b36879a34dc254193e0ce4b20355b8fb11aec392ec3e,2026-08-09T11:14:04.740628+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,A,生产基线,2,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786274056-q4p4pPsfMYm2cb62CrJ5,stop,3.34573620185256,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,8af9960a3065f12b9d91b36879a34dc254193e0ce4b20355b8fb11aec392ec3e,2026-08-09T11:14:18.392699+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,A,生产基线,3,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786274045-4afYzg5gLG1nnjWb7ceD,stop,3.2729739993810654,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,8af9960a3065f12b9d91b36879a34dc254193e0ce4b20355b8fb11aec392ec3e,2026-08-09T11:14:07.283348+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,A,生产基线,4,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786274094-zioaXlgM7S1Ib3kIPCed,stop,3.2636070996522903,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,8af9960a3065f12b9d91b36879a34dc254193e0ce4b20355b8fb11aec392ec3e,2026-08-09T11:14:57.046421+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,A,生产基线,5,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786274071-pMK7mChNavvKm9vs4oyz,stop,3.996707197278738,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,8af9960a3065f12b9d91b36879a34dc254193e0ce4b20355b8fb11aec392ec3e,2026-08-09T11:14:34.103550+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,D,固定 provider + 关闭 reasoning,1,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786273426-BzyYhGTBdFK91YcXQRWV,stop,2.463155098259449,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,f8501e908b8c5ceba1efb34329c568fc1ff2536977d4b21085332547f03819b3,2026-08-09T11:03:46.770211+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,D,固定 provider + 关闭 reasoning,2,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786273440-OEMNekpDekZHhhOougJ8,stop,2.462688598781824,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,f8501e908b8c5ceba1efb34329c568fc1ff2536977d4b21085332547f03819b3,2026-08-09T11:04:00.905267+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,D,固定 provider + 关闭 reasoning,3,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786273428-GuUs4pBoFFsOMxt0bzNf,stop,2.4696431010961533,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,f8501e908b8c5ceba1efb34329c568fc1ff2536977d4b21085332547f03819b3,2026-08-09T11:03:49.297760+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,D,固定 provider + 关闭 reasoning,4,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786273428-DFhK5uEoBUjdWYew4oq0,stop,2.2495102994143963,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,f8501e908b8c5ceba1efb34329c568fc1ff2536977d4b21085332547f03819b3,2026-08-09T11:03:49.237689+00:00
7575107124934689315,喝红酒能软化血管？冬季心血管疾病高发，这些说法不可信,20.0,1,internal_positive,D,固定 provider + 关闭 reasoning,5,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786273452-Foq4lhsRqwe4jtT0vV9G,stop,1.788977600634098,1,ok,,b395c5cbcf9dae6d0f3a353a864b125cf34b0e260fe0656538cb88aad54b4b8a,65b10e53bee72eb65cf0b8b2cb0b22abf068992b13efbae45a6ef7a96562cd1a,f8501e908b8c5ceba1efb34329c568fc1ff2536977d4b21085332547f03819b3,2026-08-09T11:04:13.318998+00:00
